cycles,value,time
200,57.4366,12.8248
200,60.9504,11.6382
200,58.2638,12.5019
200,50.4799,11.9192
200,57.4897,11.4291
200,60.8552,11.7019
200,57.3983,12.163
200,57.9528,11.6091
200,57.9625,11.854
200,55.0209,11.7711
200,57.5952,11.131
200,57.0127,11.8331
200,55.1064,11.747
200,56.8232,12.0149
200,57.6369,11.304
200,55.6323,12.201
200,57.9707,11.7679
200,54.601,12.087
200,57.7475,11.3041
200,57.2557,11.7089
200,57.4605,12.622
200,60.2743,11.737
200,57.6243,12.267
200,57.4036,12.4161
200,55.825,12.2301
200,55.6746,11.7309
200,57.6968,11.469
200,56.3082,12.464
200,59.9128,11.634
200,62.1631,11.7279
200,55.81,12.6761
200,55.9263,11.934
200,56.6655,11.255
200,58.1505,11.412
200,64.1219,12.2639
200,61.3225,11.1809
200,57.3989,11.382
200,57.9495,11.784
200,62.1451,11.925
200,56.8994,12.2351
200,56.916,11.594
200,57.9351,11.9631
200,54.0946,11.269
200,57.441,11.863
200,55.117,12.678
200,57.3261,12.687
200,58.7848,11.636
200,60.6121,11.6062
200,57.3998,11.258
200,57.5476,11.974
200,59.7027,11.636
200,57.5526,11.479
200,61.0324,12.4752
200,57.1713,10.4279
200,49.1462,9.566
200,54.1999,10.372
200,57.1798,10.643
200,58.414,10.922
200,60.6935,10.335
200,58.1295,10.805
200,57.6671,10.944
200,62.9295,10.269
200,58.5337,10.0689
200,57.873,10.2062
200,57.4306,9.9539
200,57.2524,9.6202
200,56.509,9.2781
200,48.6023,9.4668
200,55.6001,8.8278
200,61.1199,10.2921
200,55.8734,10.199
200,59.1737,9.532
200,55.5654,9.967
200,58.2365,9.414
200,57.9604,10.1519
200,57.3079,9.627
200,49.7336,10.573
200,62.3899,10.136
200,57.1598,10.4681
200,62.2617,10.094
200,54.2746,10.263
200,58.5645,10.1709
200,61.7726,10.3467
200,58.0794,10.3014
200,58.0946,10.0136
200,57.2241,10.2974
200,61.5867,10.2406
200,59.8156,10.2184
200,57.3896,9.5265
200,56.7751,10.6902
200,58.1806,10.053
200,57.1666,9.7036
200,57.2882,9.913
200,57.6879,10.175
200,55.1618,9.893
200,57.5978,9.3101
200,56.6105,9.9958
200,60.7286,10.0219
200,56.7083,10.4178
200,57.7622,10.112
50,46.6286,2.626
50,54.7174,2.6769
50,54.6628,2.6837
50,49.581,2.4392
50,45.0456,2.5971
50,47.7488,2.5279
50,56.4327,2.6212
50,57.2494,2.4829
50,49.2946,2.4372
50,49.2835,2.2385
50,56.2819,2.1519
50,59.7136,2.5931
50,48.2394,2.5501
50,51.8647,2.403
50,56.1745,2.4969
50,55.2513,2.4561
